,Population_2011,Overall_quintile,# of properties,% of 1bdrs,% of 2bdrs,% of 3+bdrs,MarketRent,% underocc,% overocc,Average Maintenance $
Balonne,"4,719",1,91,3.30%,29.70%,67.00%,172,15.40%,6.60%,2640.4
Banana,"14,440",2,227,4.00%,13.20%,82.80%,235,33.00%,3.10%,3992
Barcaldine,"3,217",2,19,21.10%,15.80%,63.20%,138,26.30%,0.00%,2925.3
Barcoo,352,1,5,0.00%,60.00%,40.00%,81,40.00%,0.00%,854.4
Blackall Tambo,"2,209",1,11,0.00%,45.50%,54.50%,110,27.30%,0.00%,1320.6
Boulia,478,1,22,0.00%,36.40%,63.60%,144,9.10%,4.50%,2949.7
Brisbane,"1,033,614",5,15531,35.30%,28.80%,36.00%,306,12.10%,4.20%,2415.3
Bundaberg,"89,762",1,995,23.50%,29.00%,47.40%,233,14.40%,4.00%,2567.9
Burdekin,"17,373",1,154,12.30%,21.40%,66.20%,229,20.10%,7.10%,2591.8
Burke,521,1,12,0.00%,25.00%,75.00%,142,25.00%,33.30%,8721
Cairns,"145,285",2,2609,26.70%,25.30%,48.00%,276,11.60%,7.40%,1798.1
Carpentaria,"2,052",1,111,4.50%,24.30%,71.20%,188,19.80%,20.70%,4857.8
Cassowary Coast,"27,632",1,241,12.40%,21.20%,66.40%,216,12.90%,7.90%,1528.8
Central Highlands,"28,729",4,245,3.30%,13.50%,83.30%,210,39.60%,4.10%,3640.1
Charters Towers,"12,157",1,116,13.80%,23.30%,62.90%,219,17.20%,3.40%,2015
Cloncurry,"3,231",1,73,8.20%,28.80%,63.00%,196,15.10%,2.70%,3405.6
Cook,"3,670",1,107,2.80%,22.40%,74.80%,161,15.90%,12.10%,3231.9
Croydon,314,1,10,0.00%,20.00%,80.00%,174,20.00%,20.00%,1485.4
Diamantina,283,1,9,11.10%,33.30%,55.60%,113,22.20%,0.00%,1901
Douglas,"10,814",2,114,17.50%,32.50%,50.00%,265,14.90%,4.40%,6483.5
Etheridge,894,1,5,0.00%,60.00%,40.00%,129,0.00%,0.00%,510.8
Flinders,"1,791",1,17,0.00%,29.40%,70.60%,151,29.40%,5.90%,1605.1
Fraser Coast,"94,495",1,1002,33.10%,23.70%,43.20%,218,14.00%,3.10%,2446.8
Gladstone,"57,834",4,749,14.70%,19.40%,66.00%,242,21.60%,2.40%,2630.3
Gold Coast,"493,584",4,3909,36.80%,25.10%,38.00%,325,14.80%,3.00%,1784.5
Goondiwindi,"10,627",2,111,16.20%,30.60%,53.20%,183,16.20%,4.50%,1875.5
Gympie,"45,746",1,290,21.70%,30.00%,48.30%,211,17.90%,2.10%,1868
Hinchinbrook,"11,510",1,79,1.30%,30.40%,68.40%,231,25.30%,6.30%,2445.3
Ipswich,"166,312",1,2419,16.40%,15.50%,68.10%,256,21.20%,6.40%,2778
Isaac,"22,528",4,86,10.50%,29.10%,60.50%,181,12.80%,1.20%,3170.6
Livingstone,"31,800",3,194,42.30%,23.20%,34.50%,254,16.00%,3.10%,6703.3
Lockyer Valley,"34,644",1,150,20.70%,33.30%,46.00%,215,12.00%,3.30%,1879.2
Logan,"277,950",2,4659,9.00%,17.40%,73.70%,281,23.40%,6.80%,2832.8
Longreach,"4,196",2,51,0.00%,41.20%,58.80%,215,11.80%,2.00%,2213
Mackay,"112,621",4,1432,21.60%,28.10%,50.30%,277,18.20%,3.20%,2182.4
Mareeba,"19,339",1,275,13.80%,20.70%,65.50%,242,15.60%,12.40%,11031.6
Mckinlay,,,,30.00%,10.00%,60.00%,130,10.00%,0.00%,3681.6
Moreton Bay,"376,874",3,4454,26.50%,20.20%,53.30%,268,18.40%,3.40%,2499.7
Mount Isa,"21,237",2,691,13.60%,21.00%,65.40%,322,10.60%,7.70%,3401.4
Murweh,"4,613",1,55,12.70%,20.00%,67.30%,160,14.50%,7.30%,2530
Noosa,"48,795",3,382,34.00%,18.60%,47.40%,307,19.90%,2.40%,8724.5
North Burnett,"10,128",1,60,23.30%,21.70%,55.00%,159,23.30%,8.30%,2294.6
Paroo,"1,865",1,78,6.40%,26.90%,66.70%,99,20.50%,6.40%,2550.4
Quilpie,969,1,8,0.00%,25.00%,75.00%,123,12.50%,0.00%,1176.3
Redland,"138,373",4,1533,39.20%,22.00%,38.80%,289,13.60%,2.30%,2220.6
Richmond,821,2,8,0.00%,12.50%,87.50%,152,37.50%,0.00%,3491.1
Rockhampton,"76,749",1,1318,22.10%,22.60%,55.30%,246,17.50%,3.50%,1996.2
Scenic Rim,"36,427",2,151,21.90%,17.90%,60.30%,233,24.50%,3.30%,3027.3
Somerset,"21,654",1,18,22.20%,33.30%,44.40%,215,22.20%,0.00%,1325
South Burnett,"31,006",1,219,20.10%,24.70%,55.30%,183,16.00%,6.40%,2737.8
Southern Downs,"33,839",1,176,21.00%,28.40%,50.60%,185,18.20%,4.50%,1773.6
Sunshine Coast,"256,232",3,2450,39.30%,28.70%,32.00%,280,10.10%,2.10%,1976.2
Tablelands,"23,712",1,202,18.80%,30.70%,50.50%,228,14.90%,6.90%,1588.1
Toowoomba,"150,377",2,1492,27.10%,27.60%,45.30%,230,13.70%,3.80%,1985.1
Torres,"3,217",1,304,0.00%,28.00%,72.00%,305,15.10%,22.40%,3555.5
Townsville,"171,925",3,3117,24.10%,20.20%,55.60%,263,16.00%,4.80%,2724.3
Western Downs,"31,610",2,150,13.30%,34.70%,52.00%,214,15.30%,5.30%,2070.8
Whitsunday,"31,087",2,297,14.50%,32.70%,52.90%,235,17.20%,3.00%,1976.5
Winton,"1,338",1,23,26.10%,39.10%,34.80%,119,13.00%,0.00%,1702.9
